,Acura,Audi,Bentley,BMW,Buick,Cadillac,Chevrolet,Chrysler,Dodge,Fiat,Ford,GMC,Honda,Hummer,Hyundai,Infiniti,Isuzue,Jaguar,Jeep,Kia,Lamborghini,Land.Rover,Lexus,Lincoln,Maserati,Mazda,Mercedes.Benz,Mercury,Mini,Mitsubishi,Nissan,Pontiac,Porsche,Ram,Rolls-Royce,Saab,Saturn,Smart,Subaru,Suzuki,Toyota,Volkswagen,Volvo,Dates,Number.of.Days.sold
1,19909,7190,NA,23178,37618,25431,306160,61193,122673,0,310757,78717,123308,7476,44431,13395,1035,2353,56280,26052,NA,5080,26562,11621,NA,24820,20791,25238,3662,10376,93905,42541,2804,0,NA,6469,24471,0,17959,7125,189855,21553,11499,7/1/05,26
2,19221,6911,NA,25537,23094,19262,200393,44279,102147,0,242849,38349,136952,6367,42113,12339,1251,2634,40659,23820,NA,4554,28125,9918,NA,22135,19272,17668,3342,10945,80026,43483,2894,0,NA,2726,20162,0,17426,7126,177237,23083,10806,8/1/05,26
3,16634,7854,NA,22052,21050,16507,205238,45546,96890,0,190012,37233,104529,5806,38214,11062,1152,2135,33120,23404,NA,3425,22036,9686,NA,19918,17552,13385,3027,9054,82478,41597,2263,0,NA,1983,18569,0,16100,7131,156381,21646,9514,9/1/05,25
4,16398,6659,NA,22432,13462,14917,152093,51766,80617,0,166266,24258,94497,5640,29413,9962,1125,1758,32431,20631,NA,3753,23331,8477,NA,19495,18349,10922,3203,9292,62317,28565,2729,0,NA,1340,16167,0,16774,6246,149754,17207,8671,10/1/05,26
5,13882,7909,NA,23673,16208,14339,166087,49917,80126,0,168386,28775,91978,5991,33383,10363,1378,1937,29855,20091,NA,4579,25649,8418,NA,17817,18284,10315,3171,8902,66849,31687,2675,0,NA,2091,14689,0,14521,5707,144016,18046,8076,11/1/05,25
6,18621,8842,NA,24464,22002,22946,231628,52208,84023,0,223324,50688,114179,8079,37365,12856,2432,2445,53218,18767,NA,6913,35186,12612,NA,19156,31192,13507,2436,9673,78397,36288,2944,0,NA,2766,15145,0,19919,6662,168093,25956,9080,12/1/05,27
7,13981,6084,NA,19274,17173,14733,173622,48628,77064,0,169412,27978,84413,5214,30208,8058,631,1596,29773,18110,NA,3693,19658,9345,NA,18177,12469,12781,2944,7463,67834,37545,3337,0,NA,2196,16907,0,12384,7210,140967,16237,8844,1/1/06,24
8,14146,4806,NA,19328,21425,16251,177710,55127,95622,0,204846,33751,92498,5645,34014,9244,832,1662,39618,20719,NA,3453,21127,9713,NA,20227,17356,15950,2690,7976,74997,29107,2700,0,NA,2787,13945,0,13635,8542,145813,16329,8397,2/1/06,24
9,17524,6994,NA,24501,23276,19945,219288,59133,113719,0,241642,42837,111282,6125,41766,11886,1387,1866,43560,26004,NA,4153,27592,13446,NA,25514,21417,18915,3851,10250,91209,32649,3185,0,NA,3239,16629,0,19048,10887,189694,20730,11124,3/1/06,27
10,19372,7412,NA,25250,19971,17916,209320,51979,106231,0,215824,38769,119752,5413,41025,9618,1235,1991,31885,27807,NA,3736,24679,11067,NA,22385,21270,20368,3313,10841,77102,32793,3341,0,NA,3144,16843,0,16073,10669,195286,20528,9736,4/1/06,26
11,16171,7120,NA,24688,19533,18510,209108,55680,99976,0,234655,42809,125639,4737,42514,9786,1355,2374,35605,26494,NA,3981,29999,10847,NA,23711,21621,16565,3672,11821,76881,30728,3541,0,NA,3030,15347,0,16406,10135,205709,22100,10124,5/1/06,25
12,15107,8039,NA,24179,23738,23265,243353,51986,96485,0,226250,47604,111342,5661,44508,9300,1652,2160,37475,27443,NA,3847,27686,9610,NA,23727,20802,16670,3556,10004,65854,41115,2871,0,NA,3295,23790,0,18476,9516,195332,20121,10867,6/1/06,26
13,18203,7005,NA,20083,23609,19124,244080,38124,76394,0,199735,48085,133601,6991,47205,10548,1336,1997,35831,26429,NA,3524,26959,9125,NA,25963,21591,16635,3528,10376,75860,40993,3202,0,NA,3658,22516,0,18923,8030,214867,22627,10323,7/1/06,25
14,18263,7115,NA,22421,22853,20036,210860,47132,89790,0,214759,42262,132990,6711,44635,9429,1125,1704,42243,25114,NA,3671,31074,8979,NA,22311,20602,15417,3252,10954,80419,39711,2554,0,NA,3168,22050,0,17809,8399,209104,23420,10582,8/1/06,27
15,16323,8004,NA,20339,19463,20217,190825,47211,79784,0,204070,39141,99903,6739,33384,10378,1397,1158,41893,23877,NA,3469,25700,7362,NA,20261,19873,13117,2964,10287,77962,37376,2339,0,NA,3069,20153,0,16128,7940,197250,20082,9672,9/1/06,26
16,15877,6431,NA,20822,15541,17052,171890,41635,77654,0,183188,38776,94747,5565,30479,9406,1097,1366,40297,20097,NA,4004,24006,8766,NA,18843,20598,10277,3642,9288,65689,29346,2487,0,NA,2731,19319,0,15404,5950,165005,15942,8384,10/1/06,25
17,17200,9209,NA,22602,18089,17250,171003,52400,76371,0,147791,37440,89246,5795,28417,10382,1138,1256,35785,22203,NA,4229,26719,9410,NA,20792,22079,10344,3287,9256,65633,26154,2611,0,NA,2497,18190,0,15800,6395,169976,17082,9229,11/1/06,25
18,19056,11897,NA,30945,15986,22715,194369,55839,88489,0,190914,41770,112722,6928,43021,13112,2566,1553,46087,30004,NA,6014,37235,12806,NA,19912,28115,13809,2472,9910,78663,32772,2947,0,NA,3535,20686,0,20613,7317,191087,19942,8525,12/1/06,26
19,13017,6399,NA,19761,12013,13740,148488,41486,79461,0,132006,28488,87773,3980,27721,8964,667,1390,35361,22524,NA,3433,22118,9594,NA,19265,17069,12604,2050,9383,73680,24060,3103,0,NA,2362,13705,0,12074,8179,153732,16610,7808,1/1/07,25
20,13658,6609,NA,22274,15108,14142,187088,46112,90618,0,173794,41279,96368,4177,34500,9704,960,1191,37776,23512,NA,3106,22518,10763,NA,22060,17304,13843,2368,9726,75514,24563,1967,0,NA,2221,22225,0,12875,8585,164812,16367,8453,2/1/07,24
21,16986,8020,NA,25325,16222,18943,213156,51874,109226,0,216788,40894,126406,4847,41984,13877,1396,1667,45335,27567,NA,3663,28855,14770,NA,37742,21612,17426,3655,12536,97242,30448,3278,0,NA,2837,21123,0,18027,11030,213820,17355,10661,3/1/07,26
22,15193,8106,NA,25310,13234,16839,185759,51441,100463,0,185553,41748,111226,4375,39137,9945,1059,1424,41200,26007,NA,4211,25995,11832,NA,23760,20895,17481,3382,12047,61179,26346,3248,0,NA,2350,19977,0,13786,9179,184462,19086,8122,4/1/07,24
